1 28
1 47
1 12
1 41
2 56
2 44
2 52
2 38
2 5
3 36
3 8
3 14
3 21
4 22
4 25
4 30
4 16
5 48
5 56
5 34
6 38
6 9
6 13
7 8
7 50
7 23
7 30
7 25
8 21
8 26
8 14
8 23
8 37
8 50
9 40
9 17
9 44
9 38
9 13
10 43
10 46
10 53
11 29
11 42
11 40
11 55
12 20
12 41
12 47
12 22
12 39
13 40
13 55
14 23
14 19
14 33
14 35
14 54
14 36
15 24
15 18
15 37
15 27
15 45
15 25
15 32
15 39
15 50
16 30
16 34
16 28
16 22
17 29
17 53
17 40
17 44
17 35
17 36
18 37
18 51
19 48
19 49
19 54
19 33
19 56
20 41
20 39
20 32
21 26
22 28
22 47
22 25
22 39
23 30
23 54
24 32
24 45
25 39
25 30
25 50
26 37
26 51
27 45
28 47
29 40
29 53
29 42
29 43
30 34
30 49
30 54
31 32
31 45
32 45
32 41
32 39
33 35
33 56
33 44
34 49
34 48
35 36
35 44
36 53
37 50
37 51
38 44
40 55
42 55
42 43
43 46
43 53
44 52
44 56
48 56
48 49
49 54
52 56
