1 41
1 12
12 41
1 47
12 47
20 41
12 20
1 28
28 47
12 22
22 47
22 28
12 39
20 39
22 39
32 41
20 32
32 39
16 28
16 22
22 25
25 39
4 22
4 16
4 25
15 39
15 32
15 25
16 30
25 30
4 30
24 32
15 24
31 32
31 45
32 45
15 27
27 45
15 45
24 45
16 34
30 34
25 50
15 50
7 25
7 30
7 50
15 37
37 50
8 50
7 8
8 37
23 30
7 23
8 23
30 49
34 49
30 54
23 54
49 54
15 18
18 37
34 48
48 49
19 49
19 54
19 48
26 37
8 26
37 51
18 51
26 51
5 34
5 48
8 21
21 26
8 14
14 23
14 54
14 19
48 56
19 56
5 56
3 8
3 21
3 14
19 33
14 33
33 56
2 5
2 56
44 56
33 44
2 44
14 35
33 35
35 44
14 36
3 36
35 36
52 56
2 52
44 52
2 38
38 44
17 44
17 35
17 36
9 44
9 38
9 17
36 53
17 53
6 38
6 9
9 13
6 13
17 40
9 40
13 40
17 29
29 53
29 40
43 53
29 43
10 53
10 46
43 46
10 43
13 55
40 55
29 42
42 43
42 55
11 40
11 29
11 55
11 42
